,branch_district,Branch,CalendarDate,branch_day_new_loans,branch_day_emps,branch_day_workingdays,branch_day_LPE,District,LPE,Group,Golive,PrePost,Post,Group_num
612,350.0,3508,2025-09-10,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Pre,0,0
613,350.0,3508,2025-09-11,2,5.0,1,0.4,350.0,0.4,Control,2025-09-17,Pre,0,0
614,350.0,3508,2025-09-12,2,5.0,1,0.4,350.0,0.4,Control,2025-09-17,Pre,0,0
615,350.0,3508,2025-09-15,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Pre,0,0
616,350.0,3508,2025-09-16,6,5.0,1,1.2,350.0,1.2,Control,2025-09-17,Pre,0,0
617,350.0,3508,2025-09-17,6,5.0,1,1.2,350.0,1.2,Control,2025-09-17,Post,1,0
618,350.0,3508,2025-09-18,2,5.0,1,0.4,350.0,0.4,Control,2025-09-17,Post,1,0
619,350.0,3508,2025-09-19,4,5.0,1,0.8,350.0,0.8,Control,2025-09-17,Post,1,0
620,350.0,3508,2025-09-22,4,5.0,1,0.8,350.0,0.8,Control,2025-09-17,Post,1,0
621,350.0,3509,2025-09-10,1,5.0,1,0.2,350.0,0.2,Control,2025-09-17,Pre,0,0
622,350.0,3509,2025-09-11,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Pre,0,0
623,350.0,3509,2025-09-12,1,5.0,1,0.2,350.0,0.2,Control,2025-09-17,Pre,0,0
624,350.0,3509,2025-09-15,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Pre,0,0
625,350.0,3509,2025-09-16,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Pre,0,0
626,350.0,3509,2025-09-17,5,5.0,1,1.0,350.0,1.0,Control,2025-09-17,Post,1,0
627,350.0,3509,2025-09-18,3,5.0,1,0.6,350.0,0.6,Control,2025-09-17,Post,1,0
628,350.0,3509,2025-09-19,2,5.0,1,0.4,350.0,0.4,Control,2025-09-17,Post,1,0
629,350.0,3509,2025-09-22,2,5.0,1,0.4,350.0,0.4,Control,2025-09-17,Post,1,0
630,350.0,3513,2025-09-10,2,4.5,1,0.4444444444444444,350.0,0.4444444444444444,Control,2025-09-17,Pre,0,0
631,350.0,3513,2025-09-11,4,4.5,1,0.8888888888888888,350.0,0.8888888888888888,Control,2025-09-17,Pre,0,0
632,350.0,3513,2025-09-12,3,4.5,1,0.6666666666666666,350.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
633,350.0,3513,2025-09-15,3,4.5,1,0.6666666666666666,350.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
634,350.0,3513,2025-09-16,3,4.5,1,0.6666666666666666,350.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
635,350.0,3513,2025-09-17,5,4.5,1,1.1111111111111112,350.0,1.1111111111111112,Control,2025-09-17,Post,1,0
636,350.0,3513,2025-09-18,7,4.5,1,1.5555555555555556,350.0,1.5555555555555556,Control,2025-09-17,Post,1,0
637,350.0,3513,2025-09-19,1,4.5,1,0.2222222222222222,350.0,0.2222222222222222,Control,2025-09-17,Post,1,0
638,350.0,3513,2025-09-22,5,4.5,1,1.1111111111111112,350.0,1.1111111111111112,Control,2025-09-17,Post,1,0
639,350.0,3520,2025-09-10,2,4.0,1,0.5,350.0,0.5,Control,2025-09-17,Pre,0,0
640,350.0,3520,2025-09-11,3,4.0,1,0.75,350.0,0.75,Control,2025-09-17,Pre,0,0
641,350.0,3520,2025-09-12,2,4.0,1,0.5,350.0,0.5,Control,2025-09-17,Pre,0,0
642,350.0,3520,2025-09-15,3,4.0,1,0.75,350.0,0.75,Control,2025-09-17,Pre,0,0
643,350.0,3520,2025-09-16,5,4.0,1,1.25,350.0,1.25,Control,2025-09-17,Pre,0,0
